nom,marque,quantite,prix,
Pastis de Marseille,Pastis,100cl,19.70€,
Pastis Bleu Janot,Distillerie Janot,70cl,17.60€,
ABSINTHE PERNOD,Pernod,70cl,39.50€,
Blue Label King George V,Johnnie Walker,70cl,514.00€,
LAGAVULIN 1995 THE DISTILLERS EDITION,Lagavulin,70cl,72.20€,
JAMESON GOLD RESERVE,Jameson,70cl,66.60€,
TEQUILA CAZADORES ANEJO,Tequila Cazadores,70cl,52.85€,
TEQUILA DON FULANO,Don Fulano,70cl,40.85€,
TEQUILA PORFIDIO SINGLE BARREL ANEJO,Tequila Porfidio,75cl,125.00€,
